objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
77,E14000606,Broxbourne,534218,205427,-0.05786,51.73149872,67727792.573266,43176.9311850871
78,E14000607,Broxtowe,450754,346085,-1.24501002,53.00968933,65130004.5252507,46657.2358979012
79,E14000608,Buckingham,477472,222419,-0.87553,51.89495087,868902444.518323,211181.896092896
80,E14000609,Burnley,384886,430882,-2.23079991,53.7740593,112948464.251769,48938.7609963917
81,E14000610,Burton,404391,334740,-1.93614995,52.91007996,244954719.888664,126627.727628715
82,E14000611,Bury North,379312,413522,-2.31420994,53.61783981,51201191.7979926,36143.9129881909
83,E14000612,Bury South,380354,406519,-2.29801011,53.55493927,49249325.4408925,38981.9218176952
84,E14000613,Bury St Edmunds,594529,264764,0.84811902,52.24668121,504334132.146126,146789.149281474
85,E14000614,Calder Valley,403388,423842,-1.95014,53.71099854,308780535.324109,105900.502873508
86,E14000615,Camberwell and Peckham,533978,176264,-0.07246,51.46949005,12334504.3968829,16764.8329471168
87,E14000616,Camborne and Redruth,171361,37224,-5.20457983,50.19078064,283200505.235481,108460.579071482
88,E14000617,Cambridge,545420,257901,0.126436,52.20016861,36567950.3624791,33764.1011252515
89,E14000618,Cannock Chase,401261,311553,-1.98276997,52.70166016,79383361.1147969,41976.8011270476
90,E14000619,Canterbury,615361,155814,1.08536196,51.26079178,248300537.000148,95109.2547983645
91,E14000620,Carlisle,339781,552314,-2.9396801,54.86196899,213726389.518537,97847.3948592484
92,E14000621,Carshalton and Wallington,528288,163524,-0.15894,51.3563118,26070232.8374947,25046.9017947945
93,E14000622,Castle Point,579490,187921,0.58808398,51.56159973,44126948.3861685,41298.1521365849
94,E14000623,Central Devon,272816,92580,-3.80304003,50.7188797,1413099239.87708,249793.252946927
95,E14000624,Central Suffolk and North Ipswich,619438,262142,1.21070504,52.21377945,793994854.327972,159004.916393282
96,E14000625,Charnwood,458723,311183,-1.13252997,52.69517136,171738996.139636,100295.802542964
97,E14000626,Chatham and Aylesford,574815,163047,0.50843298,51.33963013,62277306.124079,51351.5749305432
98,E14000627,Cheadle,387557,385611,-2.1884501,53.36722946,40364805.7411907,32754.5921751038
99,E14000628,Chelmsford,571558,205432,0.482346,51.7213707,41168825.2910317,32465.575677186
100,E14000629,Chelsea and Fulham,525982,177080,-0.18723001,51.47864914,8740082.29123851,13945.5646500691
101,E14000630,Cheltenham,394670,221154,-2.07884002,51.88891983,37144088.3492277,27447.0953546606
102,E14000631,Chesham and Amersham,495432,198692,-0.62111998,51.67890167,196151646.708604,71724.0853064912
103,E14000632,Chesterfield,440100,372487,-1.40050006,53.24790955,47048397.1842732,36094.6820012058
136,E14000665,Devizes,413665,161526,-1.80514002,51.35263824,1027412033.57697,173883.671423933
104,E14000633,Chichester,490172,116639,-0.71789998,50.94213867,619524297.988099,191202.245377092
105,E14000634,Chingford and Woodford Green,538751,192824,0.002733,51.61714172,19789750.7229882,19354.7665315355
106,E14000635,Chippenham,385912,164688,-2.20380998,51.38106155,167863454.85641,74553.1357601099
107,E14000636,Chipping Barnet,525721,194354,-0.18481,51.63394928,34727270.2513866,31495.7751890778
108,E14000637,Chorley,358735,418081,-2.62585998,53.65758896,154545124.148079,64261.5273760857
109,E14000638,Christchurch,412843,100944,-1.81908,50.80789948,106227522.282124,70168.1718721736
110,E14000639,Cities of London and Westminster,528186,180101,-0.15441,51.50531006,17225474.1505107,23627.6124071738
111,E14000640,City of Chester,339234,361923,-2.91006994,53.15097046,132411052.713314,71999.0945475176
112,E14000641,City of Durham,427183,541519,-1.57903004,54.76787186,185936471.138682,84394.7062107022
113,E14000642,Clacton,618208,219640,1.16565704,51.83272934,130309437.769889,88003.2436276231
114,E14000643,Cleethorpes,516863,415672,-0.23449001,53.62456894,327288524.960015,134326.009357568
115,E14000644,Colchester,599674,224891,0.90007699,51.8868103,44300941.0528185,29081.3511371096
116,E14000645,Colne Valley,408584,411123,-1.87177002,53.59661865,179620827.465419,64568.293877823
117,E14000646,Congleton,380524,363233,-2.29276991,53.16587067,212197542.574631,81791.7672114785
